objectId,inSize,totalTime,loadSchema,initGenerator,generation,genSuccess,valid
draft2019_09_reflexive_boolean_schema_id1_subschema1_not_2,82,126,StandardGenerationException,,,,
draft2019_09_reflexive_boolean_schema_id2_subschema1_not_2,84,8,StandardGenerationException,,,,
draft2019_09_valid_boolean_schema_id1_subschema1_not_2,143,9,StandardGenerationException,,,,
draft2019_09_valid_boolean_schema_id7_subschema1_not_2,144,10,StandardGenerationException,,,,
draft2019_09_valid_boolean_schema_id9_subschema1_not_2,144,8,StandardGenerationException,,,,
draft2019_09_valid_boolean_schema_id3_subschema1_not_2,146,6,StandardGenerationException,,,,
draft2019_09_valid_boolean_schema_id5_subschema1_not_2,146,6,StandardGenerationException,,,,
draft2019_09_valid_boolean_schema_id2_subschema1_not_2,147,7,StandardGenerationException,,,,
draft2019_09_valid_boolean_schema_id4_subschema1_not_2,147,5,StandardGenerationException,,,,
draft2019_09_reflexive_not_id5_subschema1_not_2,152,6,StandardGenerationException,,,,
draft2019_09_reflexive_not_id6_subschema1_not_2,154,6,StandardGenerationException,,,,
draft2019_09_reflexive_items_id3_subschema1_not_2,156,11,StandardGenerationException,,,,
draft2019_09_reflexive_maxItems_id1_subschema1_not_2,156,299,5,277,14,true,false
draft2019_09_reflexive_minItems_id1_subschema1_not_2,156,73,7,63,3,true,false
draft2019_09_reflexive_minimum_id2_subschema1_not_2,156,55,7,47,1,true,false
draft2019_09_reflexive_items_id4_subschema1_not_2,158,6,StandardGenerationException,,,,
draft2019_09_reflexive_maxLength_id1_subschema1_not_2,158,46,5,39,1,true,false
draft2019_09_reflexive_maximum_id1_subschema1_not_2,158,49,7,39,1,true,false
draft2019_09_reflexive_maximum_id2_subschema1_not_2,158,54,10,42,2,true,false
draft2019_09_reflexive_minLength_id1_subschema1_not_2,158,85,6,77,2,true,false
draft2019_09_reflexive_minimum_id1_subschema1_not_2,158,65,7,33,25,true,false
draft2019_09_reflexive_type_id7_subschema1_not_2,158,41,8,33,IllegalStateException,,
draft2019_09_reflexive_multipleOf_id1_subschema1_not_2,160,37,5,29,2,true,false
draft2019_09_reflexive_pattern_id2_subschema1_not_2,160,71,36,34,1,true,false
draft2019_09_reflexive_type_id5_subschema1_not_2,160,48,11,32,5,true,false
draft2019_09_reflexive_type_id2_subschema1_not_2,162,37,6,28,3,true,false
draft2019_09_reflexive_type_id3_subschema1_not_2,162,34,5,25,3,true,false
draft2019_09_reflexive_type_id4_subschema1_not_2,162,34,4,28,1,true,false
draft2019_09_reflexive_multipleOf_id2_subschema1_not_2,164,37,6,28,2,true,false
draft2019_09_reflexive_pattern_id1_subschema1_not_2,164,34,7,26,1,true,false
draft2019_09_reflexive_type_id1_subschema1_not_2,164,32,5,25,2,true,false
draft2019_09_reflexive_type_id6_subschema1_not_2,164,33,4,27,1,true,false
draft2019_09_reflexive_maxProperties_id1_subschema1_not_2,166,35,5,29,1,true,false
draft2019_09_reflexive_maxProperties_id2_subschema1_not_2,166,28,4,23,1,true,false
draft2019_09_reflexive_minProperties_id1_subschema1_not_2,166,31,6,24,1,true,false
draft2019_09_reflexive_multipleOf_id3_subschema1_not_2,170,31,5,24,1,true,false
draft2019_09_reflexive_additionalItems_id4_subschema1_not_2,178,26,4,21,1,true,false
draft2019_09_valid_minimum_id6_subschema1_not_2,184,31,5,24,2,true,false
draft2019_09_valid_items_id12_subschema1_not_2,185,4,StandardGenerationException,,,,
draft2019_09_valid_minItems_id4_subschema1_not_2,185,27,3,22,1,true,false
draft2019_09_valid_minLength_id4_subschema1_not_2,185,27,4,21,1,true,false
draft2019_09_valid_minimum_id5_subschema1_not_2,185,29,5,22,2,true,false
draft2019_09_valid_minimum_id7_subschema1_not_2,185,28,5,22,1,true,false
draft2019_09_valid_items_id14_subschema1_not_2,186,4,StandardGenerationException,,,,
draft2019_09_valid_minimum_id11_subschema1_not_2,186,27,3,22,2,true,false
draft2019_09_valid_boolean_schema_id8_subschema1_not_2,187,4,StandardGenerationException,,,,
draft2019_09_valid_maxLength_id1_subschema1_not_2,187,26,4,20,2,true,false
draft2019_09_valid_maxLength_id4_subschema1_not_2,187,32,5,26,1,true,false
draft2019_09_valid_maximum_id1_subschema1_not_2,187,28,4,19,5,true,false
draft2019_09_valid_maximum_id2_subschema1_not_2,187,28,4,20,3,true,false
draft2019_09_valid_maximum_id4_subschema1_not_2,187,75,34,38,1,true,false
draft2019_09_valid_maximum_id6_subschema1_not_2,187,25,4,19,1,true,false
draft2019_09_valid_minimum_id1_subschema1_not_2,187,26,3,20,3,true,false
draft2019_09_valid_minimum_id2_subschema1_not_2,187,24,4,17,2,true,false
draft2019_09_valid_minimum_id4_subschema1_not_2,187,24,4,19,1,true,false
draft2019_09_valid_minimum_id8_subschema1_not_2,187,25,4,18,3,true,false
draft2019_09_valid_multipleOf_id1_subschema1_not_2,187,23,3,17,2,true,false
draft2019_09_valid_not_id12_subschema1_not_2,187,4,StandardGenerationException,,,,
draft2019_09_valid_type_id10_subschema1_not_2,187,22,3,17,1,true,false
draft2019_09_valid_type_id39_subschema1_not_2,187,22,4,17,1,true,false
draft2019_09_valid_maxLength_id2_subschema1_not_2,188,22,3,17,1,true,false
draft2019_09_valid_minLength_id2_subschema1_not_2,188,22,4,17,1,true,false
draft2019_09_valid_multipleOf_id4_subschema1_not_2,188,21,3,17,1,true,false
draft2019_09_valid_type_id1_subschema1_not_2,188,21,3,17,1,true,false
draft2019_09_valid_type_id23_subschema1_not_2,188,21,3,17,1,true,false
draft2019_09_valid_type_id31_subschema1_not_2,188,22,3,18,1,true,false
draft2019_09_valid_type_id61_subschema1_not_2,188,21,3,18,NullPointerException,,
draft2019_09_valid_maximum_id7_subschema1_not_2,189,24,4,17,3,true,false
draft2019_09_valid_minLength_id1_subschema1_not_2,189,24,5,17,1,true,false
draft2019_09_valid_pattern_id6_subschema1_not_2,189,21,4,15,2,true,false
draft2019_09_valid_pattern_id7_subschema1_not_2,189,20,3,16,1,true,false
draft2019_09_valid_type_id11_subschema1_not_2,189,25,4,19,2,true,false
draft2019_09_valid_type_id12_subschema1_not_2,189,24,4,18,2,true,false
draft2019_09_valid_type_id22_subschema1_not_2,189,22,4,17,1,true,false
draft2019_09_valid_maxProperties_id6_subschema1_not_2,190,23,4,18,1,true,false
draft2019_09_valid_maxProperties_id7_subschema1_not_2,190,22,3,17,2,true,false
draft2019_09_valid_maximum_id5_subschema1_not_2,190,23,3,18,2,true,false
draft2019_09_valid_minProperties_id4_subschema1_not_2,190,22,4,18,0,true,false
draft2019_09_valid_minProperties_id5_subschema1_not_2,190,22,3,17,1,true,false
draft2019_09_valid_minProperties_id6_subschema1_not_2,190,21,3,17,1,true,false
draft2019_09_valid_multipleOf_id3_subschema1_not_2,190,22,3,18,1,true,false
draft2019_09_valid_multipleOf_id5_subschema1_not_2,190,27,5,19,3,true,false
draft2019_09_valid_pattern_id4_subschema1_not_2,190,26,6,19,1,true,false
draft2019_09_valid_pattern_id5_subschema1_not_2,190,25,4,19,1,true,false
draft2019_09_valid_type_id2_subschema1_not_2,190,24,3,19,1,true,true
draft2019_09_valid_maxItems_id4_subschema1_not_2,191,24,3,19,1,true,false
draft2019_09_valid_pattern_id3_subschema1_not_2,191,26,5,19,1,true,false
draft2019_09_valid_pattern_id8_subschema1_not_2,191,24,4,20,NullPointerException,,
draft2019_09_valid_type_id21_subschema1_not_2,191,28,5,22,1,true,false
draft2019_09_valid_type_id49_subschema1_not_2,191,27,6,20,1,true,false
draft2019_09_valid_pattern_id1_subschema1_not_2,192,30,4,22,4,true,false
draft2019_09_valid_type_id50_subschema1_not_2,192,28,6,21,1,true,false
draft2019_09_valid_pattern_id9_subschema1_not_2,193,25,4,18,2,true,false
draft2019_09_valid_boolean_schema_id6_subschema1_not_2,194,3,StandardGenerationException,,,,
draft2019_09_valid_maxProperties_id5_subschema1_not_2,196,25,4,19,1,true,false
draft2019_09_valid_multipleOf_id7_subschema1_not_2,196,26,3,20,2,true,false
draft2019_09_universal_boolean_schema_id1_subschema1_not_2,216,6,StandardGenerationException,,,,
draft2019_09_unsatisfiable_boolean_schema_id1_subschema1_not_2,217,5,StandardGenerationException,,,,
draft2019_09_universal_boolean_schema_id2_subschema1_not_2,218,4,StandardGenerationException,,,,
draft2019_09_unsatisfiable_boolean_schema_id2_subschema1_not_2,219,3,StandardGenerationException,,,,
draft2019_09_reflexive_const_id11_subschema1_not_2,220,25,4,20,1,true,false
draft2019_09_reflexive_const_id12_subschema1_not_2,220,25,4,20,1,true,false
draft2019_09_reflexive_const_id1_subschema1_not_2,220,23,4,18,1,true,false
draft2019_09_valid_allOf_id15_subschema1_not_2,222,23,3,20,0,true,false
draft2019_09_valid_const_id33_subschema1_not_2,222,24,4,18,2,true,false
draft2019_09_valid_const_id39_subschema1_not_2,222,41,3,36,1,true,false
draft2019_09_reflexive_allOf_id7_subschema1_not_2,224,21,3,18,0,true,false
draft2019_09_valid_const_id40_subschema1_not_2,224,29,4,23,1,true,false
draft2019_09_valid_maxItems_id1_subschema1_not_2,224,23,3,18,2,true,false
draft2019_09_valid_minItems_id2_subschema1_not_2,224,23,3,19,1,true,false
draft2019_09_reflexive_const_id13_subschema1_not_2,226,24,3,17,2,true,false
draft2019_09_reflexive_const_id4_subschema1_not_2,226,29,4,19,NullPointerException,,
draft2019_09_reflexive_const_id6_subschema1_not_2,226,23,4,19,0,true,false
draft2019_09_reflexive_const_id5_subschema1_not_2,228,22,3,17,1,true,false
draft4_valid_maximum_id13_subschema1_not_2,229,23,4,17,2,true,false
draft4_valid_minimum_id9_subschema1_not_2,229,24,3,18,2,true,false
draft4_valid_maximum_id10_subschema1_not_2,230,23,4,17,1,true,false
draft4_valid_maximum_id12_subschema1_not_2,230,23,4,18,1,true,false
draft4_valid_maximum_id9_subschema1_not_2,230,24,4,18,2,true,false
draft4_valid_minimum_id5_subschema1_not_2,230,23,4,18,1,true,false
draft4_valid_minimum_id6_subschema1_not_2,230,23,4,17,1,true,false
draft4_valid_minimum_id8_subschema1_not_2,230,23,5,17,1,true,false
draft2019_09_valid_type_id69_subschema1_not_2,231,23,4,18,0,true,false
draft2019_09_reflexive_additionalItems_id2_subschema1_not_2,232,21,3,18,0,true,false
draft2019_09_reflexive_type_id9_subschema1_not_2,234,21,3,16,1,true,false
draft2019_09_valid_required_id6_subschema1_not_2,235,21,3,17,1,true,false
draft2019_09_valid_maxProperties_id1_subschema1_not_2,236,56,4,50,2,true,false
draft2019_09_valid_minProperties_id2_subschema1_not_2,236,24,5,18,1,true,false
draft4_reflexive_maximum_id4_subschema1_not_2,238,27,7,19,1,true,false
draft4_reflexive_minimum_id3_subschema1_not_2,238,62,42,19,1,true,false
draft2019_09_valid_not_id1_subschema1_not_2,239,25,5,18,1,true,false
draft4_reflexive_maximum_id3_subschema1_not_2,240,23,5,18,0,true,false
draft4_reflexive_minimum_id2_subschema1_not_2,240,24,3,20,1,true,false
draft2019_09_valid_additionalItems_id10_subschema1_not_2,246,27,5,21,1,true,false
draft2019_09_valid_allOf_id16_subschema1_not_2,246,27,4,19,1,true,false
draft2019_09_valid_enum_id9_subschema1_not_2,246,25,6,18,1,true,false
draft2019_09_valid_maxItems_id2_subschema1_not_2,247,23,4,18,1,true,false
draft2019_09_valid_minItems_id1_subschema1_not_2,247,31,11,19,1,true,false
draft2019_09_reflexive_required_id2_subschema1_not_2,248,23,3,19,1,true,false
draft2019_09_valid_enum_id8_subschema1_not_2,249,23,4,18,NullPointerException,,
draft2019_09_reflexive_const_id14_subschema1_not_2,250,22,4,18,0,true,false
draft2019_09_reflexive_not_id1_subschema1_not_2,250,23,4,18,1,true,false
draft2019_09_valid_const_id47_subschema1_not_2,252,23,4,18,1,true,false
draft2019_09_valid_items_id17_subschema1_not_2,252,3,StandardGenerationException,,,,
draft2019_09_reflexive_items_id1_subschema1_not_2,254,23,3,18,1,true,false
draft2019_09_valid_allOf_id12_subschema1_not_2,254,3,StandardGenerationException,,,,
draft2019_09_valid_anyOf_id8_subschema1_not_2,254,2,StandardGenerationException,,,,
draft2019_09_valid_anyOf_id9_subschema1_not_2,255,3,StandardGenerationException,,,,
draft2019_09_valid_type_id62_subschema1_not_2,258,22,3,18,1,true,false
draft2019_09_valid_type_id63_subschema1_not_2,262,23,3,19,1,true,false
draft2019_09_valid_enum_id1_subschema1_not_2,266,22,4,18,0,true,false
draft2019_09_valid_maxProperties_id2_subschema1_not_2,266,22,4,18,0,true,false
draft2019_09_valid_minProperties_id1_subschema1_not_2,266,27,4,22,1,true,false
draft2019_09_reflexive_allOf_id8_subschema1_not_2,268,36,4,32,0,true,false
draft2019_09_reflexive_enum_id3_subschema1_not_2,268,22,3,19,NullPointerException,,
draft2019_09_valid_properties_id15_subschema1_not_2,271,4,StandardGenerationException,,,,
draft2019_09_valid_maxProperties_id4_subschema1_not_2,275,22,3,19,0,true,false
draft2019_09_reflexive_allOf_id4_subschema1_not_2,276,3,StandardGenerationException,,,,
draft2019_09_reflexive_anyOf_id3_subschema1_not_2,276,3,StandardGenerationException,,,,
draft2019_09_valid_items_id11_subschema1_not_2,277,3,StandardGenerationException,,,,
draft2019_09_reflexive_allOf_id5_subschema1_not_2,278,3,StandardGenerationException,,,,
draft2019_09_reflexive_anyOf_id4_subschema1_not_2,278,3,StandardGenerationException,,,,
draft2019_09_reflexive_items_id5_subschema1_not_2,278,3,StandardGenerationException,,,,
draft2019_09_valid_patternProperties_id22_subschema1_not_2,278,3,StandardGenerationException,,,,
draft2019_09_reflexive_allOf_id6_subschema1_not_2,280,3,StandardGenerationException,,,,
draft2019_09_reflexive_anyOf_id5_subschema1_not_2,280,4,StandardGenerationException,,,,
draft2019_09_valid_oneOf_id9_subschema1_not_2,282,2,StandardGenerationException,,,,
draft2019_09_reflexive_additionalProperties_id4_subschema1_not_2,284,21,2,18,0,true,false
draft2019_09_valid_type_id78_subschema1_not_2,287,24,4,19,NullPointerException,,
draft2019_09_reflexive_type_id10_subschema1_not_2,288,23,4,18,1,true,false
draft2019_09_valid_items_id3_subschema1_not_2,288,23,3,19,1,true,false
draft2019_09_valid_items_id15_subschema1_not_2,291,4,StandardGenerationException,,,,
draft2019_09_reflexive_type_id8_subschema1_not_2,292,23,3,19,1,true,false
draft2019_09_valid_additionalProperties_id12_subschema1_not_2,302,24,4,19,1,true,false
draft2019_09_reflexive_enum_id1_subschema1_not_2,304,23,3,19,1,true,false
draft2019_09_valid_type_id72_subschema1_not_2,305,22,3,18,1,true,false
draft2019_09_reflexive_additionalProperties_id5_subschema1_not_2,306,23,4,18,1,true,false
draft2019_09_valid_patternProperties_id7_subschema1_not_2,306,22,4,17,1,true,false
draft4_valid_patternProperties_id5_subschema1_not_2,306,26,5,19,1,true,false
draft4_valid_patternProperties_id6_subschema1_not_2,306,23,4,18,1,true,false
draft2019_09_valid_allOf_id17_subschema1_not_2,308,33,14,18,1,true,false
draft2019_09_valid_allOf_id19_subschema1_not_2,308,24,4,19,1,true,false
draft2019_09_valid_patternProperties_id6_subschema1_not_2,309,22,3,18,1,true,false
draft2019_09_valid_anyOf_id16_subschema1_not_2,310,23,3,18,1,true,false
draft2019_09_valid_anyOf_id15_subschema1_not_2,312,23,3,19,1,true,false
draft2019_09_valid_oneOf_id16_subschema1_not_2,312,23,3,18,2,true,false
draft2019_09_valid_additionalItems_id4_subschema1_not_2,313,23,4,18,1,true,false
draft2019_09_reflexive_const_id8_subschema1_not_2,314,21,3,17,1,true,false
draft2019_09_reflexive_const_id7_subschema1_not_2,316,23,3,18,1,true,false
draft2019_09_reflexive_properties_id3_subschema1_not_2,316,3,StandardGenerationException,,,,
draft2019_09_valid_properties_id16_subschema1_not_2,317,2,StandardGenerationException,,,,
draft2019_09_universal_not_id5_subschema1_not_2,318,7,StandardGenerationException,,,,
draft2019_09_unsatisfiable_not_id5_subschema1_not_2,319,3,StandardGenerationException,,,,
draft2019_09_universal_not_id6_subschema1_not_2,320,3,StandardGenerationException,,,,
draft4_universal_maxItems_id1_subschema1_not_2,320,24,5,18,1,true,false
draft4_universal_minItems_id1_subschema1_not_2,320,21,3,18,0,true,false
draft4_universal_minimum_id4_subschema1_not_2,320,22,3,18,1,true,false
draft2019_09_unsatisfiable_not_id6_subschema1_not_2,321,4,StandardGenerationException,,,,
draft2019_09_universal_items_id3_subschema1_not_2,322,3,StandardGenerationException,,,,
draft2019_09_universal_maxItems_id1_subschema1_not_2,322,3,StandardGenerationException,,,,
draft2019_09_universal_minItems_id1_subschema1_not_2,322,3,StandardGenerationException,,,,
draft2019_09_universal_minimum_id2_subschema1_not_2,322,3,StandardGenerationException,,,,
draft2019_09_valid_not_id3_subschema1_not_2,322,21,2,18,0,true,false
draft4_universal_maxLength_id1_subschema1_not_2,322,23,4,19,0,true,false
draft4_universal_maximum_id1_subschema1_not_2,322,47,3,42,1,true,false
draft4_universal_maximum_id2_subschema1_not_2,322,20,4,16,0,true,false
draft4_universal_minLength_id1_subschema1_not_2,322,21,4,17,0,true,false
draft4_universal_minimum_id1_subschema1_not_2,322,20,3,15,1,true,false
draft4_universal_type_id7_subschema1_not_2,322,20,3,16,0,true,false
draft2019_09_unsatisfiable_items_id3_subschema1_not_2,323,4,StandardGenerationException,,,,
draft2019_09_unsatisfiable_maxItems_id1_subschema1_not_2,323,3,StandardGenerationException,,,,
draft2019_09_unsatisfiable_minItems_id1_subschema1_not_2,323,3,StandardGenerationException,,,,
draft2019_09_unsatisfiable_minimum_id2_subschema1_not_2,323,3,StandardGenerationException,,,,
draft2019_09_valid_items_id1_subschema1_not_2,323,20,3,16,1,true,false
draft2019_09_valid_items_id4_subschema1_not_2,323,22,5,16,1,true,false
draft2019_09_reflexive_const_id10_subschema1_not_2,324,20,4,15,1,true,false
draft2019_09_reflexive_oneOf_id3_subschema1_not_2,324,4,StandardGenerationException,,,,
draft2019_09_universal_items_id4_subschema1_not_2,324,3,StandardGenerationException,,,,
draft2019_09_universal_maxLength_id1_subschema1_not_2,324,4,StandardGenerationException,,,,
draft2019_09_universal_maximum_id1_subschema1_not_2,324,12,StandardGenerationException,,,,
draft2019_09_universal_maximum_id2_subschema1_not_2,324,4,StandardGenerationException,,,,
draft2019_09_universal_minLength_id1_subschema1_not_2,324,4,StandardGenerationException,,,,
draft2019_09_universal_minimum_id1_subschema1_not_2,324,3,StandardGenerationException,,,,
draft2019_09_universal_type_id7_subschema1_not_2,324,3,StandardGenerationException,,,,
draft2019_09_valid_patternProperties_id18_subschema1_not_2,324,3,StandardGenerationException,,,,
draft4_universal_multipleOf_id1_subschema1_not_2,324,20,3,16,1,true,false
draft4_universal_pattern_id2_subschema1_not_2,324,19,3,16,0,true,false
draft4_universal_type_id5_subschema1_not_2,324,21,4,15,1,true,false
draft2019_09_unsatisfiable_items_id4_subschema1_not_2,325,3,StandardGenerationException,,,,
draft2019_09_unsatisfiable_maxLength_id1_subschema1_not_2,325,15,StandardGenerationException,,,,
draft2019_09_unsatisfiable_maximum_id1_subschema1_not_2,325,3,StandardGenerationException,,,,
draft2019_09_unsatisfiable_maximum_id2_subschema1_not_2,325,3,StandardGenerationException,,,,
draft2019_09_unsatisfiable_minLength_id1_subschema1_not_2,325,3,StandardGenerationException,,,,
draft2019_09_unsatisfiable_minimum_id1_subschema1_not_2,325,3,StandardGenerationException,,,,
draft2019_09_unsatisfiable_type_id7_subschema1_not_2,325,3,StandardGenerationException,,,,
draft2019_09_reflexive_const_id9_subschema1_not_2,326,19,3,16,0,true,false
draft2019_09_reflexive_oneOf_id5_subschema1_not_2,326,3,StandardGenerationException,,,,
draft2019_09_universal_multipleOf_id1_subschema1_not_2,326,3,StandardGenerationException,,,,
draft2019_09_universal_pattern_id2_subschema1_not_2,326,3,StandardGenerationException,,,,
draft2019_09_universal_type_id5_subschema1_not_2,326,3,StandardGenerationException,,,,
draft4_universal_type_id2_subschema1_not_2,326,20,3,15,1,true,false
draft4_universal_type_id3_subschema1_not_2,326,19,3,15,0,true,false
draft4_universal_type_id4_subschema1_not_2,326,20,3,16,1,true,false
draft2019_09_unsatisfiable_multipleOf_id1_subschema1_not_2,327,3,StandardGenerationException,,,,
draft2019_09_unsatisfiable_pattern_id2_subschema1_not_2,327,3,StandardGenerationException,,,,
draft2019_09_unsatisfiable_type_id5_subschema1_not_2,327,2,StandardGenerationException,,,,
draft2019_09_valid_additionalItems_id9_subschema1_not_2,327,20,3,16,1,true,false
draft2019_09_reflexive_oneOf_id4_subschema1_not_2,328,4,StandardGenerationException,,,,
draft2019_09_universal_type_id2_subschema1_not_2,328,2,StandardGenerationException,,,,
draft2019_09_universal_type_id3_subschema1_not_2,328,3,StandardGenerationException,,,,
draft2019_09_universal_type_id4_subschema1_not_2,328,3,StandardGenerationException,,,,
draft4_universal_multipleOf_id2_subschema1_not_2,328,19,3,15,0,true,false
draft4_universal_pattern_id1_subschema1_not_2,328,19,4,15,0,true,false
draft4_universal_type_id1_subschema1_not_2,328,19,3,16,0,true,false
draft4_universal_type_id6_subschema1_not_2,328,20,4,15,1,true,false
draft2019_09_unsatisfiable_type_id2_subschema1_not_2,329,5,StandardGenerationException,,,,
draft2019_09_unsatisfiable_type_id3_subschema1_not_2,329,4,StandardGenerationException,,,,
draft2019_09_unsatisfiable_type_id4_subschema1_not_2,329,3,StandardGenerationException,,,,
draft2019_09_reflexive_oneOf_id6_subschema1_not_2,330,2,StandardGenerationException,,,,
draft2019_09_reflexive_patternProperties_id4_subschema1_not_2,330,3,StandardGenerationException,,,,
draft2019_09_universal_multipleOf_id2_subschema1_not_2,330,3,StandardGenerationException,,,,
draft2019_09_universal_pattern_id1_subschema1_not_2,330,3,StandardGenerationException,,,,
draft2019_09_universal_type_id1_subschema1_not_2,330,3,StandardGenerationException,,,,
draft2019_09_universal_type_id6_subschema1_not_2,330,3,StandardGenerationException,,,,
draft4_universal_maxProperties_id1_subschema1_not_2,330,20,3,16,0,true,false
draft4_universal_maxProperties_id2_subschema1_not_2,330,20,3,16,1,true,false
draft4_universal_minProperties_id1_subschema1_not_2,330,19,3,16,0,true,false
draft2019_09_unsatisfiable_multipleOf_id2_subschema1_not_2,331,3,StandardGenerationException,,,,
draft2019_09_unsatisfiable_pattern_id1_subschema1_not_2,331,3,StandardGenerationException,,,,
draft2019_09_unsatisfiable_type_id1_subschema1_not_2,331,3,StandardGenerationException,,,,
draft2019_09_unsatisfiable_type_id6_subschema1_not_2,331,3,StandardGenerationException,,,,
draft2019_09_universal_maxProperties_id1_subschema1_not_2,332,3,StandardGenerationException,,,,
draft2019_09_universal_maxProperties_id2_subschema1_not_2,332,2,StandardGenerationException,,,,
draft2019_09_universal_minProperties_id1_subschema1_not_2,332,2,StandardGenerationException,,,,
draft2019_09_unsatisfiable_maxProperties_id1_subschema1_not_2,333,3,StandardGenerationException,,,,
draft2019_09_unsatisfiable_maxProperties_id2_subschema1_not_2,333,2,StandardGenerationException,,,,
draft2019_09_unsatisfiable_minProperties_id1_subschema1_not_2,333,2,StandardGenerationException,,,,
draft2019_09_valid_type_id77_subschema1_not_2,333,21,4,16,1,true,false
draft4_universal_multipleOf_id3_subschema1_not_2,334,20,3,16,1,true,false
draft2019_09_universal_multipleOf_id3_subschema1_not_2,336,3,StandardGenerationException,,,,
draft2019_09_unsatisfiable_multipleOf_id3_subschema1_not_2,337,3,StandardGenerationException,,,,
draft2019_09_valid_default_id2_subschema1_not_2,337,20,3,16,1,true,false
draft2019_09_reflexive_type_id11_subschema1_not_2,340,20,3,16,1,true,false
draft2019_09_valid_required_id3_subschema1_not_2,341,20,3,16,0,true,false
draft2019_09_valid_required_id4_subschema1_not_2,341,20,3,16,1,true,false
draft2019_09_valid_required_id5_subschema1_not_2,341,20,3,15,1,true,false
draft2019_09_reflexive_additionalItems_id5_subschema1_not_2,342,19,3,16,0,true,false
draft2019_09_valid_type_id71_subschema1_not_2,342,20,3,15,1,true,false
draft4_universal_additionalItems_id4_subschema1_not_2,342,19,4,15,0,true,false
draft2019_09_universal_additionalItems_id4_subschema1_not_2,344,3,StandardGenerationException,,,,
draft2019_09_unsatisfiable_additionalItems_id4_subschema1_not_2,345,3,StandardGenerationException,,,,
draft2019_09_valid_ref_id22_subschema1_not_2,347,20,3,16,1,true,false
draft2019_09_valid_patternProperties_id5_subschema1_not_2,349,20,3,16,1,true,false
draft2019_09_reflexive_not_id4_subschema1_not_2,350,29,3,25,1,true,false
draft2019_09_valid_additionalItems_id5_subschema1_not_2,352,20,3,15,1,true,false
draft2019_09_valid_patternProperties_id1_subschema1_not_2,352,22,5,15,2,true,false
draft2019_09_valid_additionalProperties_id7_subschema1_not_2,354,29,6,20,2,true,false
draft2019_09_valid_additionalItems_id3_subschema1_not_2,356,26,4,19,2,true,false
draft4_unsatisfiable_maxItems_id1_subschema1_not_2,359,20,3,17,0,true,false
draft4_unsatisfiable_minItems_id1_subschema1_not_2,359,21,4,16,1,true,false
draft4_unsatisfiable_minimum_id4_subschema1_not_2,359,21,3,16,1,true,false
draft2019_09_reflexive_additionalProperties_id2_subschema1_not_2,360,20,4,16,0,true,false
draft4_unsatisfiable_maxLength_id1_subschema1_not_2,361,20,4,15,1,true,false
draft4_unsatisfiable_maximum_id1_subschema1_not_2,361,20,3,15,1,true,false
draft4_unsatisfiable_maximum_id2_subschema1_not_2,361,19,3,16,0,true,false
draft4_unsatisfiable_minLength_id1_subschema1_not_2,361,19,3,16,0,true,false
draft4_unsatisfiable_minimum_id1_subschema1_not_2,361,20,3,15,1,true,false
draft4_unsatisfiable_type_id7_subschema1_not_2,361,19,3,16,NullPointerException,,
draft4_unsatisfiable_multipleOf_id1_subschema1_not_2,363,21,4,16,1,true,false
draft4_unsatisfiable_pattern_id2_subschema1_not_2,363,21,3,17,1,true,false
draft4_unsatisfiable_type_id5_subschema1_not_2,363,22,4,17,1,true,false
draft2019_09_valid_allOf_id10_subschema1_not_2,365,20,3,16,1,true,false
draft4_unsatisfiable_type_id2_subschema1_not_2,365,21,3,17,1,true,false
draft4_unsatisfiable_type_id3_subschema1_not_2,365,54,37,16,1,true,false
draft4_unsatisfiable_type_id4_subschema1_not_2,365,19,3,15,1,true,false
draft2019_09_reflexive_ref_id8_subschema1_not_2,366,20,3,16,1,true,false
draft2019_09_valid_not_id10_subschema1_not_2,366,19,3,15,1,true,false
draft2019_09_valid_anyOf_id1_subschema1_not_2,367,21,3,17,1,true,false
draft2019_09_valid_anyOf_id3_subschema1_not_2,367,19,3,15,1,true,false
draft2019_09_valid_oneOf_id1_subschema1_not_2,367,20,4,16,0,true,false
draft4_unsatisfiable_multipleOf_id2_subschema1_not_2,367,19,3,16,0,true,false
draft4_unsatisfiable_pattern_id1_subschema1_not_2,367,19,3,15,1,true,false
draft4_unsatisfiable_type_id1_subschema1_not_2,367,18,2,14,1,true,false
draft4_unsatisfiable_type_id6_subschema1_not_2,367,20,4,15,1,true,false
draft2019_09_valid_anyOf_id2_subschema1_not_2,369,20,3,15,1,true,false
draft2019_09_valid_oneOf_id2_subschema1_not_2,369,22,2,18,1,true,false
draft4_unsatisfiable_maxProperties_id1_subschema1_not_2,369,47,3,43,0,true,false
draft4_unsatisfiable_maxProperties_id2_subschema1_not_2,369,27,8,19,0,true,false
draft4_unsatisfiable_minProperties_id1_subschema1_not_2,369,21,3,17,1,true,false
draft2019_09_valid_type_id76_subschema1_not_2,370,23,3,18,1,true,false
draft2019_09_valid_items_id9_subschema1_not_2,372,21,4,15,1,true,false
draft4_unsatisfiable_multipleOf_id3_subschema1_not_2,373,19,3,15,1,true,false
draft2019_09_valid_additionalItems_id6_subschema1_not_2,375,19,2,15,1,true,false
draft2019_09_valid_additionalProperties_id14_subschema1_not_2,376,21,4,16,1,true,false
draft2019_09_valid_enum_id3_subschema1_not_2,377,18,2,15,0,true,false
